16-1-2 00:30:39.3|Info|Bootstrap|Starting Sonarr - /NzbDrone/NzbDrone.exe - Version 2.0.0.3645
16-1-2 00:30:39.6|Info|AppFolderInfo|Data directory is being overridden to [/volumes/config/sonarr]
16-1-2 00:30:39.7|Debug|ProcessProvider|Found 0 processes with the name: NzbDrone.Console
16-1-2 00:30:39.7|Debug|ProcessProvider|Found 1 processes with the name: NzbDrone
16-1-2 00:30:39.7|Debug|ProcessProvider| - [8] NzbDrone
16-1-2 00:30:39.9|Info|MigrationLogger|*** Migrating data source=/volumes/config/sonarr/nzbdrone.db;cache size=-10485760;datetimekind=Utc;journal mode=Wal;pooling=True;version=3 ***
16-1-2 00:30:40.1|Info|MigrationLogger|*** VersionMigration migrating ***
16-1-2 00:30:40.1|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:40.1|Debug|MigrationLogger|CreateTable VersionInfo
16-1-2 00:30:40.2|Debug|MigrationLogger|CREATE TABLE "VersionInfo" ("Version" INTEGER NOT NULL)
16-1-2 00:30:40.2|Debug|MigrationLogger|Took: 00:00:00.0097340
16-1-2 00:30:40.2|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:40.2|Debug|MigrationLogger|VersionMigration migrated
16-1-2 00:30:40.2|Debug|MigrationLogger|Took: 00:00:00.0339180
16-1-2 00:30:40.3|Info|MigrationLogger|*** VersionUniqueMigration migrating ***
16-1-2 00:30:40.3|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:40.3|Debug|MigrationLogger|CreateIndex VersionInfo (Version)
16-1-2 00:30:40.3|Debug|MigrationLogger|CREATE UNIQUE INDEX "UC_Version" ON "VersionInfo" ("Version" ASC)
16-1-2 00:30:40.3|Debug|MigrationLogger|Took: 00:00:00.0044850
16-1-2 00:30:40.3|Debug|MigrationLogger|AlterTable VersionInfo
16-1-2 00:30:40.3|Debug|MigrationLogger|
16-1-2 00:30:40.3|Debug|MigrationLogger|Took: 00:00:00.0022170
16-1-2 00:30:40.3|Debug|MigrationLogger|CreateColumn VersionInfo AppliedOn DateTime
16-1-2 00:30:40.3|Debug|MigrationLogger|ALTER TABLE "VersionInfo" ADD COLUMN "AppliedOn" DATETIME
16-1-2 00:30:40.3|Debug|MigrationLogger|Took: 00:00:00.0025620
16-1-2 00:30:40.3|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:40.3|Debug|MigrationLogger|VersionUniqueMigration migrated
16-1-2 00:30:40.3|Debug|MigrationLogger|Took: 00:00:00.0138910
16-1-2 00:30:40.3|Info|MigrationLogger|*** VersionDescriptionMigration migrating ***
16-1-2 00:30:40.3|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:40.3|Debug|MigrationLogger|AlterTable VersionInfo
16-1-2 00:30:40.3|Debug|MigrationLogger|
16-1-2 00:30:40.3|Debug|MigrationLogger|Took: 00:00:00.0031730
16-1-2 00:30:40.3|Debug|MigrationLogger|CreateColumn VersionInfo Description String
16-1-2 00:30:40.3|Debug|MigrationLogger|ALTER TABLE "VersionInfo" ADD COLUMN "Description" TEXT
16-1-2 00:30:40.4|Debug|MigrationLogger|Took: 00:00:00.0052230
16-1-2 00:30:40.4|Debug|MigrationLogger|Committing Transaction
16-1-2 00:30:40.4|Debug|MigrationLogger|VersionDescriptionMigration migrated
16-1-2 00:30:40.4|Debug|MigrationLogger|Took: 00:00:00.0193980
16-1-2 00:30:40.4|Info|MigrationLogger|*** 1: InitialSetup migrating ***
16-1-2 00:30:40.4|Debug|MigrationLogger|Beginning Transaction
16-1-2 00:30:40.4|Info|InitialSetup|Starting migration to 1
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateTable Config
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE TABLE "Config" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Key" TEXT NOT NULL, "Value" TEXT NOT NULL)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0029170
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateIndex Config (Key)
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Config_Key" ON "Config" ("Key" ASC)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0022540
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateTable RootFolders
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE TABLE "RootFolders" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "Path" TEXT NOT NULL)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0025320
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateIndex RootFolders (Path)
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_RootFolders_Path" ON "RootFolders" ("Path" ASC)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0035810
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateTable Series
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE TABLE "Series" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvdbId" INTEGER NOT NULL, "TvRageId" INTEGER NOT NULL, "ImdbId" TEXT NOT NULL, "Title" TEXT NOT NULL, "TitleSlug" TEXT NOT NULL, "CleanTitle" TEXT NOT NULL, "Status" INTEGER NOT NULL, "Overview" TEXT, "AirTime" TEXT, "Images" TEXT NOT NULL, "Path" TEXT NOT NULL, "Monitored" INTEGER NOT NULL, "QualityProfileId" INTEGER NOT NULL, "SeasonFolder" INTEGER NOT NULL, "LastInfoSync" DATETIME, "LastDiskSync" DATETIME, "Runtime" INTEGER NOT NULL, "SeriesType" INTEGER NOT NULL, "BacklogSetting" INTEGER NOT NULL, "Network" TEXT, "CustomStartDate" DATETIME, "UseSceneNumbering" INTEGER NOT NULL, "FirstAired" DATETIME, "NextAiring" DATETIME)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0026610
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateIndex Series (TvdbId)
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TvdbId" ON "Series" ("TvdbId" ASC)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0023350
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateIndex Series (TvRageId)
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TvRageId" ON "Series" ("TvRageId" ASC)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0058850
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateIndex Series (ImdbId)
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_ImdbId" ON "Series" ("ImdbId" ASC)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0018730
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateIndex Series (TitleSlug)
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE UNIQUE INDEX "IX_Series_TitleSlug" ON "Series" ("TitleSlug" ASC)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0047150
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateTable Seasons
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE TABLE "Seasons" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "SeriesId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL, "Ignored" INTEGER NOT NULL)
16-1-2 00:30:40.5|Debug|MigrationLogger|Took: 00:00:00.0020460
16-1-2 00:30:40.5|Debug|MigrationLogger|CreateTable Episodes
16-1-2 00:30:40.5|Debug|MigrationLogger|CREATE TABLE "Episodes" ("Id" INTEGER NOT NULL PRIMARY KEY AUTOINCREMENT, "TvDbEpisodeId" INTEGER NOT NULL, "SeriesId" INTEGER NOT NULL, "SeasonNumber" INTEGER NOT NULL, "EpisodeNumber" INTEGER NOT NULL, "Title" TEXT, "Overview" TEXT, "Ignored" INTEGER, "EpisodeFileId" INTEGER, "AirDate" DATETIME, "AbsoluteEpisodeNumber" INTEGER, "SceneAbsoluteEpisodeNumber" INTEGER, "SceneSeasonNumber" INTEGER, "SceneEpisodeNumber" INTEGER)
16-1-2 00:30:40.6|Debug|MigrationLogger|Took: 00:00:00.0024190
